"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Streptococcus",-0.0624353694418604,-0.296646543198099,-0.20056515044504,-0.147346717289965,-0.203193316141208,0.121726855787496,-0.186167077291232,-0.283201079222853,-0.174158300508129,-0.178003689417895,-0.362676328069093,1,-0.266099299028324,-0.13420396134778,-0.144335788907952,-0.221515747320371,-0.154398662424151,0.0307818247654671,0.24163367172504,0.23653444824735,0.275130276287278,0.134022990236149,-0.27825022872587,-0.388876202034021
"Veillonella",0.342367803038415,0.785247886540332,0.764655309078718,0.531057494718204,0.25307808335198,-0.644522513784045,0.734339314336181,0.570033607871073,0.629299914414383,0.874854754425375,0.254424555514431,-0.266099299028324,1,0.418393962369078,0.398597344493804,0.186329577059114,0.642957055579511,0.200597053535166,-0.59920525926686,-0.389660951289603,-0.377625518664878,-0.246912976242817,0.00562912681490055,0.0831812319767354
"Klebsiella",0.405796318311178,0.41735350148233,0.463444592657106,0.51309570735702,-0.0378960748004847,-0.322229505571632,0.406968116455427,0.325548635346919,0.434189638615529,0.499312981305888,0.0837893206675581,-0.13420396134778,0.418393962369078,1,-0.100877040449184,0.118751054530933,0.276940423649669,0.110423108831305,-0.356162169714019,-0.358129318575632,-0.0345345541442057,-0.0755761045640706,-0.00472813360783214,-0.00928532065830154
"Moraxella",0.0107138920644694,0.263742764158105,0.207617704287438,0.174657724338402,0.186557937056411,-0.252819372172728,0.161470517297275,0.121711097886766,0.241560156222298,0.279669615901628,0.16408641848582,-0.144335788907952,0.398597344493804,-0.100877040449184,1,0.0610989342492063,0.31223385578102,0.060038581429628,-0.249004007922026,-0.0729113521287144,-0.245115736593099,-0.098405711906382,0.0574191928852614,0.000428787670083361
"Pseudomonas",0.282075135304561,0.225133457033937,0.166147043288459,0.142992976711436,0.111629865503611,-0.369707689135123,0.234844967978751,0.356630605588569,0.204226117339743,0.194986055476251,-0.0360350226186081,-0.221515747320371,0.186329577059114,0.118751054530933,0.0610989342492063,1,0.171990919455432,0.0821681780199625,-0.275126994126521,-0.197005431413622,-0.258004770906005,-0.0775623601949378,0.151922472910759,0.0626638663512427
"Aspergillus",0.257542470273332,0.492733528903302,0.612886509146313,0.335697400429801,0.0793937407903075,-0.33766600686744,0.566883918315185,0.415010050410262,0.495537404100829,0.609499526566481,0.0298428833006336,-0.154398662424151,0.642957055579511,0.276940423649669,0.31223385578102,0.171990919455432,1,0.127615147513046,-0.433199468161617,-0.169977247577952,-0.239993574096526,-0.0727918846056134,0.052992531918991,0.1161298573405
"Candida",0.205679810744417,0.187653450385568,0.232925742412413,0.0989310895258161,0.0852068851935056,0.0686582671720715,0.181232327491764,0.0256558363692894,0.212107882156987,0.198022127373424,0.105802385075892,0.0307818247654671,0.200597053535166,0.110423108831305,0.060038581429628,0.0821681780199625,0.127615147513046,1,-0.104252911115252,-0.0980437459066732,-0.406941719092226,-0.338666152293884,-0.61710459305165,-0.224488978907826
"Cryptococcus",-0.320828983433751,-0.429241178000588,-0.447129501395688,-0.303649466296568,-0.0270174242701157,0.463714344543891,-0.442964987865281,-0.443101643523603,-0.380523554767347,-0.508657763059021,-0.0645038784070613,0.24163367172504,-0.59920525926686,-0.356162169714019,-0.249004007922026,-0.275126994126521,-0.433199468161617,-0.104252911115252,1,0.247100084824706,0.250280350557547,0.167417483743342,-0.161001803389263,-0.141486988694852
"Penicillium",-0.230541173033024,-0.24247409294486,-0.300591908639435,-0.235545125602627,0.0441193350506778,0.368915560182416,-0.286260977602917,-0.215670703587018,-0.159075532912136,-0.298960089686691,-0.130354772244914,0.23653444824735,-0.389660951289603,-0.358129318575632,-0.0729113521287144,-0.197005431413622,-0.169977247577952,-0.0980437459066732,0.247100084824706,1,0.125412862704919,-0.00344418003880731,-0.174767077757277,0.0787695401774472
"Saccharomyces",-0.1864399240623,-0.225632745078183,-0.271866722990099,-0.0636146160185673,0.0492239320410533,0.261800931247038,-0.261527637502861,-0.275384324606693,-0.295419231086467,-0.289764512255474,-0.32163005120415,0.275130276287278,-0.377625518664878,-0.0345345541442057,-0.245115736593099,-0.258004770906005,-0.239993574096526,-0.406941719092226,0.250280350557547,0.125412862704919,1,0.182417993797464,0.00898180578285967,-0.177759159593053
"unidentified",-0.0429484922999376,-0.189001509861918,-0.107032276357236,-0.186620489636663,-0.0930478607246138,0.0581876930395517,-0.205599248355038,-0.102040523848354,-0.148107348387,-0.250743156787105,0.0712412785576032,0.134022990236149,-0.246912976242817,-0.0755761045640706,-0.098405711906382,-0.0775623601949378,-0.0727918846056134,-0.338666152293884,0.167417483743342,-0.00344418003880731,0.182417993797464,1,0.160826820257302,0.0687455714252987
"PIV3",0.101380777866488,-0.113930660180471,-0.0510458369966906,-0.0820677016427992,-0.14016117443957,-0.243360304390186,-0.0544688969574516,0.0894035179507459,-0.110807166521881,-0.0652098245252126,-0.114035017721084,-0.27825022872587,0.00562912681490055,-0.00472813360783214,0.0574191928852614,0.151922472910759,0.052992531918991,-0.61710459305165,-0.161001803389263,-0.174767077757277,0.00898180578285967,0.160826820257302,1,0.00423017256013477
"RV",-0.128446935773171,0.0461140495586512,0.0336687273830048,-0.053523719536979,0.0143796958581411,-0.0952236236961589,0.0454100269929444,0.125882580864727,0.168300471879918,0.0942200069160281,0.0374926997118418,-0.388876202034021,0.0831812319767354,-0.00928532065830154,0.000428787670083361,0.0626638663512427,0.1161298573405,-0.224488978907826,-0.141486988694852,0.0787695401774472,-0.177759159593053,0.0687455714252987,0.00423017256013477,1
