,ko00540,ko02010,ko00290,ko04122,ko00630,ko04540,ko00521,ko05204,ko03020,ko00362,ko04626,ko00620,ko04011,ko00250,ko04112,ko00260,ko03030,ko00330,ko00520,ko00440,ko04146,ko00030,ko02040,ko00564,ko00740,ko00340,ko00590,ko05134,ko00790,ko03430,ko00910,ko00770,ko00300,ko00860,ko05110,ko03420,ko00310,ko03018,ko00680,ko00311,ko04066,ko00670,ko00240,ko05111,ko02030,ko04070,ko00480,ko00071,ko03440,ko00020,ko00052,ko00627,ko03410,ko00550,ko02060,ko04974,ko00780,ko05142,ko00960,ko01053,ko00750,ko00660,ko00281,ko00791,ko04510,ko00908,ko00561,ko00040,ko05150,ko00760,ko00940,ko00500,ko00450,ko04142,ko01040,ko00785,ko00511,ko00930,ko00360,ko00361,ko00633,ko04010,ko00920,ko03060,ko00430,ko04113,ko05340,ko05143,ko00941,ko00363,ko00983,ko00625,ko00640,ko00062,ko03013,ko00562,ko00720,ko00945,ko04740,ko00140,ko00380,ko04514,ko04151,ko05203,ko04330,ko00591,ko00460,ko04310,ko04144,ko05200,ko05030,ko00510,ko00120,ko05100,ko04080,ko05010,ko04910,ko05219,ko04141,ko03040,ko00600,ko04111,ko05014,ko04110,ko04520,ko04976,ko04630,ko00621,ko05132,ko04210,ko03050,ko00830,ko00053,ko00565,ko00906,ko05032,ko00563,ko04145,ko04940,ko00100,ko04020,ko04270,ko00710,ko04810,ko05012,ko04710,ko00514,ko05146,ko04114,ko03015,ko05152,ko04120,ko00195,ko05322,ko04340,ko00513,ko05202,ko05133,ko04012,ko05016,ko04140,ko03008,ko04512,ko05034,ko00232,ko04621,ko04530,ko00531,ko05310,ko04150,ko04260,ko04115,ko00624,ko03022,ko05166,ko04130,ko03450,ko04970,ko04360,ko04972,ko03320,ko05130,ko05144,ko04350,ko04380,ko04064,ko00622,ko05131,ko00312,ko04612,ko00592,ko04062,ko05410,ko05412,ko04013,ko00253,ko00532,ko04610,ko00601,ko00534,ko05161,ko04623,ko04666,ko04744,ko04973,ko05168,ko04672,ko00909,ko04060,ko04742,ko00512,ko04723,ko04075,ko00901,ko00643,ko00364,ko00984,ko04962,ko05160,ko05164,ko05222,ko05020,ko04622,ko00522,ko04975,ko04971,ko00603,ko00904,ko04650,ko00980,ko05215,ko04670,ko04722,ko04950,ko04320,ko04930,ko00533,ko04964,ko04712,ko04614,ko02020,ko00280,ko00970,ko00230,ko03070,ko00650,ko00051,ko00190,ko00400,ko00730,ko00010,ko00061,ko03010,ko00270,ko00130,ko05120,ko00900,ko00350,ko04640,ko04966,ko00903,ko01057,ko00351,ko00523,ko01056,ko05323,ko04912,ko00196,ko04711,ko05211,ko04370,ko05416,ko05145,ko04960,ko05220,ko00604,ko04745,ko05169,ko05320
TBE0002,1806,15992,2556,1312,376,0,986,176,4100,70,676,4264,118,6056,3360,6222,5465,2176,2852,160,1276,3482,22,1771,774,1222,184,436,1539,1238,1556,1108,3052,2136,2,2424,572,4579,802,96,1203,1236,3320,376,392,668,1076,28,3440,1122,2698,134,1546,3817,2682,46,554,68,0,96,584,6,94,18,10,194,1390,566,744,1940,186,2318,410,538,92,180,424,0,138,6,110,0,366,272,0,22,42,2,2,0,6,0,128,0,446,100,734,12,0,0,94,2,188,430,0,0,0,0,0,240,0,32,0,86,4,16,60,22,8,20,14,0,0,0,4,0,0,0,58,52,6,0,56,8,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,2,0,4,4,0,0,0,0,0,0,0,0,24,6,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5465,800,13412,7726,4580,316,1208,4454,3141,1284,3192,2068,7970,4314,1006,550,2346,946,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0003,68,1163,170,81,70,0,78,10,228,58,32,225,6,462,308,442,350,194,174,18,98,184,36,88,48,140,26,20,64,78,78,104,152,222,2,170,50,318,34,12,52,76,279,52,96,54,53,16,180,106,130,14,134,250,158,2,48,24,0,30,30,0,32,8,0,18,78,44,48,110,14,142,22,36,16,39,28,6,22,10,12,0,18,28,2,0,6,0,0,2,2,0,18,0,14,38,40,0,0,6,0,0,26,24,0,2,4,0,0,4,4,8,0,4,0,4,0,4,0,22,0,0,4,4,0,0,0,0,2,2,0,0,18,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,142,728,544,364,30,114,294,224,63,272,140,522,626,106,22,140,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0004,10783,59276,9279,4986,3040,0,4072,58,12261,350,2220,11042,296,18357,11297,19528,16655,8939,9774,560,3243,8183,474,6755,3605,4097,766,824,2435,4680,6842,3974,8407,12801,0,8207,1908,13925,2967,64,2844,4974,10832,1515,2180,1838,5997,1083,11679,5626,7092,26,4738,11772,9356,607,2363,56,0,102,1006,96,140,2,2,1000,4196,1626,362,5933,506,6848,1174,1501,438,532,806,0,178,18,2240,0,134,1260,0,26,66,0,2,0,12,0,144,0,825,0,1949,0,0,0,42,8,460,1258,0,0,0,0,2,1178,0,305,2,0,0,10,256,38,64,24,44,0,0,8,0,0,0,0,788,22,4,20,24,28,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16044,3080,37820,28280,12266,522,6358,10769,8485,4158,11941,6044,26396,15255,5434,1756,7341,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0005,786,8735,742,480,1160,0,338,328,1270,620,94,1322,62,2070,1024,3587,1144,2866,674,240,784,856,1059,738,320,992,274,56,252,242,1365,640,1004,2000,36,440,350,1036,220,288,374,240,651,208,2446,126,388,312,982,514,104,362,516,981,446,0,284,126,18,651,342,0,878,62,0,58,682,252,120,726,104,536,128,0,132,47,6,130,588,174,78,0,470,64,140,0,50,20,36,20,70,26,358,0,98,296,78,92,0,146,48,0,138,142,0,66,98,0,20,160,88,4,0,0,0,0,4,0,2,16,18,0,6,6,0,0,0,88,0,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7771,2698,2376,2427,4886,358,700,1700,898,265,1288,944,1074,1794,668,248,341,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0006,1368,29014,6260,2388,680,6,2332,36,7326,172,900,6028,120,13150,7152,11964,10759,4214,5059,446,1832,5534,86,2506,1270,4137,228,582,2724,2138,1696,2332,5880,4638,0,6050,1026,9846,1254,40,3034,2970,7424,272,634,816,1937,20,6384,2920,5118,144,2978,8130,7940,150,730,416,2,710,1032,0,40,10,14,490,2210,928,1360,3284,458,4256,822,568,144,354,630,2,40,6,242,4,164,674,6,136,210,0,0,0,16,0,42,0,762,82,1784,180,0,8,10,2,524,872,10,0,0,4,50,446,0,148,10,50,18,78,346,24,70,64,22,12,12,14,0,6,10,0,46,122,180,2,56,2,4,0,14,10,8,8,4,0,26,10,44,0,0,18,0,4,4,14,6,0,8,2,8,0,0,6,4,0,4,0,0,2,2,108,0,0,0,6,12,2,0,8,0,4,0,0,2,0,0,4,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9798,2314,26387,16116,7200,842,2738,7108,6648,1861,7634,3642,19238,9102,2070,904,4258,1638,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0007,540,4754,508,286,476,0,246,171,808,294,97,857,30,1402,694,1763,844,1513,411,93,439,522,412,424,188,564,129,57,172,198,597,331,608,1060,81,469,197,709,198,133,284,197,414,107,1193,103,202,140,708,284,171,140,334,581,351,15,126,38,30,332,209,1,467,42,0,45,356,137,65,313,42,342,75,20,68,28,27,38,272,63,37,0,199,73,60,4,27,5,55,12,13,12,141,0,53,117,42,45,0,52,17,0,67,59,0,23,44,0,0,85,22,5,0,2,0,1,1,57,1,8,2,0,0,0,0,0,0,2,19,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4067,1131,1717,1547,2402,153,469,958,540,201,780,507,965,734,350,128,265,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0008,187,2450,250,109,98,2,89,32,212,105,32,430,10,382,196,622,281,456,210,47,63,346,13,202,48,132,45,19,62,95,142,120,205,401,0,89,134,216,95,2,72,91,184,41,103,49,139,41,227,116,193,28,89,292,505,0,40,42,0,82,91,2,11,11,1,7,221,322,9,139,44,263,21,2,11,27,4,2,191,19,14,1,50,20,9,0,3,0,0,0,13,1,27,0,42,71,3,3,0,19,19,1,27,32,0,0,2,0,0,7,0,1,1,0,0,0,1,13,1,9,0,0,2,0,0,0,0,0,0,1,1,0,63,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,210,583,490,400,22,204,266,197,70,474,87,282,566,162,58,96,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0009,680,7838,1550,596,292,2,552,14,1952,72,294,2086,48,3524,2310,3418,2976,1358,1753,104,544,1542,38,836,536,994,146,238,874,792,538,810,1658,1526,0,1818,270,2474,434,28,727,858,2082,84,192,222,538,4,1747,1050,1526,38,812,2331,1780,108,276,24,6,140,304,6,38,8,2,174,612,442,644,1024,112,1292,250,264,24,96,358,0,26,0,90,0,44,180,0,16,14,0,0,0,16,0,20,0,142,68,530,20,0,0,36,2,160,192,0,0,0,0,10,110,0,82,2,98,0,8,30,26,24,26,0,0,4,2,2,0,0,0,52,24,28,4,28,2,0,0,0,0,0,0,2,6,8,2,2,0,4,22,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,14,0,116,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3042,622,7169,4284,1950,230,1052,2190,1768,645,2040,1058,4596,2756,698,302,1376,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0010,100,1221,174,94,46,0,66,12,320,0,24,278,0,514,280,425,386,152,194,10,92,257,2,120,62,158,14,36,96,102,95,118,220,148,0,203,56,326,46,0,81,98,244,16,28,46,104,6,292,116,160,0,116,236,196,8,24,10,24,76,42,0,30,0,2,26,128,36,42,122,26,152,28,36,10,8,22,0,32,0,8,0,26,26,4,8,12,0,2,0,10,0,10,0,36,22,48,15,0,20,0,0,38,16,0,10,0,0,0,32,0,0,2,8,0,2,4,14,4,24,0,0,0,2,4,0,0,0,2,8,28,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,4,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,188,868,598,257,24,124,413,203,124,302,152,444,632,55,20,194,46,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0011,174,955,49,70,25,0,102,0,330,22,68,245,6,458,394,446,360,199,278,2,80,166,34,103,98,169,10,30,88,117,31,115,206,420,0,281,66,438,53,0,79,101,335,6,38,18,53,0,286,191,142,6,134,315,60,70,115,1,0,3,53,10,23,0,2,32,22,55,0,249,25,193,44,115,0,8,53,0,36,0,4,1,5,47,0,2,6,0,0,0,0,2,24,0,16,1,53,0,0,5,22,0,47,14,0,0,1,0,1,8,0,26,0,1,0,0,0,0,7,10,5,0,2,0,0,0,0,0,36,0,1,0,6,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,130,1083,576,359,21,220,257,161,143,275,132,662,339,51,84,211,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0012,2492,32401,4850,2920,688,2,1310,118,6926,197,980,6904,202,10167,6974,10530,9836,3918,6003,292,1852,5984,54,3500,1324,1602,192,300,2426,2598,2285,2119,5448,3630,0,4748,1038,8148,1254,120,2393,2532,5705,542,1143,928,2668,426,6361,1460,5360,264,2922,7737,7270,42,1086,130,6,548,828,2,16,58,6,550,2497,1360,1576,2936,470,4536,862,703,136,490,1374,0,36,12,144,0,226,564,0,38,52,6,0,0,2,0,72,0,746,42,1350,114,0,0,38,0,212,756,0,0,0,0,6,438,0,54,0,74,0,4,72,20,6,0,16,0,4,4,2,0,8,0,222,134,50,2,204,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,2,6,0,4,2,0,0,0,0,2,8,0,0,0,0,136,0,24,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985,1706,23490,13836,6930,556,3335,6636,6006,2256,6279,3644,14914,7522,1702,798,3525,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0013,550,3716,786,453,112,0,96,108,1012,22,262,1236,43,1497,1066,2128,1176,470,584,42,482,512,4,376,358,984,74,134,404,142,472,350,804,748,0,610,356,1608,244,0,309,296,803,6,24,158,710,70,1112,608,165,2,448,976,142,6,252,12,2,46,192,0,180,2,0,76,286,200,24,606,22,162,116,36,152,48,14,0,130,0,0,0,376,98,0,0,4,0,0,0,18,0,6,0,116,0,110,6,0,0,16,0,210,26,0,0,0,0,14,96,0,6,0,2,2,0,0,0,6,40,0,0,10,2,0,0,0,0,2,6,16,0,0,0,0,6,0,0,0,0,2,0,0,4,0,0,0,66,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,440,3522,1888,1234,62,166,1430,818,308,704,574,2172,1546,400,84,606,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBE0014,11926,67810,13959,4908,2332,2,5866,886,21002,362,3376,20404,550,30958,15078,30196,23982,13034,10790,788,7270,13984,272,6776,4434,7788,1232,3054,5116,6070,8000,5688,13758,17772,24,13030,3868,23968,4086,96,5616,6326,15054,1228,1398,3138,6336,382,16997,9144,7094,202,7292,16867,8456,584,2912,414,12,432,2366,270,540,14,24,970,4538,1872,1120,8888,418,9896,1650,1386,516,848,914,0,1094,40,946,4,2306,1362,4,82,478,12,0,0,2,6,1074,2,1628,390,3816,164,0,4,534,0,808,1894,0,0,0,2,4,1710,0,252,0,28,14,40,256,66,52,44,86,2,10,0,0,0,6,0,364,42,130,44,94,26,0,0,2,2,4,0,2,0,2,4,0,0,4,126,0,16,2,8,4,70,0,0,0,0,0,0,0,0,0,0,0,14,6,74,0,0,0,2,36,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21640,4530,61488,36319,23250,1368,5412,27204,13496,6722,16449,11343,41613,19723,6342,2282,10647,3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS002,119,2557,329,194,67,2,116,15,498,13,82,587,7,733,423,827,806,362,501,19,113,521,27,259,67,208,30,34,178,253,80,199,360,248,2,352,63,474,78,16,198,150,526,35,72,56,150,5,524,112,623,20,283,522,701,0,54,0,0,20,42,1,12,1,6,21,211,134,116,290,51,432,96,167,9,34,60,0,25,4,13,4,19,56,5,0,8,1,8,0,1,0,24,0,68,7,141,2,1,0,7,2,4,62,0,0,0,0,2,26,0,2,2,0,2,3,12,0,8,6,3,4,0,2,3,0,0,0,2,7,0,0,14,1,3,0,0,2,3,0,2,3,3,2,0,0,0,1,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,867,140,1812,1059,597,53,185,632,402,174,423,311,1000,1299,128,41,257,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS006,1565,8597,1500,641,308,0,684,18,2286,64,290,2056,319,3362,2126,3411,2990,1286,1583,42,588,2042,72,888,550,642,68,350,636,1502,799,612,1544,2185,12,1797,308,2506,394,44,532,832,1986,182,308,318,638,98,2064,1040,1476,12,856,2206,1238,170,402,18,0,56,292,30,26,4,8,164,638,316,154,1106,78,1260,222,356,34,82,170,0,82,0,212,2,262,230,0,6,30,0,0,0,20,0,46,0,156,30,360,8,0,0,26,0,180,246,0,0,0,0,4,196,0,46,0,28,4,8,26,32,8,12,0,0,8,2,0,0,0,0,52,6,6,0,34,0,0,0,0,2,12,0,2,0,0,0,0,0,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,64,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2909,594,7020,4744,2328,218,742,2092,1654,620,1916,1009,4114,2692,720,300,1197,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS011,3818,30358,4215,2266,1780,6,1736,694,5930,492,1100,7336,204,10795,4976,10872,7252,6190,4024,344,2606,5322,1254,2440,1466,2732,644,664,1722,1806,2526,1938,4532,5346,24,3718,1440,7184,1366,208,1576,1928,4276,476,3040,1050,2556,498,5612,2504,2707,240,2502,6194,4078,120,1260,194,30,612,904,2,606,84,22,178,1984,1204,398,2890,330,3322,512,428,354,315,324,14,772,218,262,0,1078,436,114,64,130,28,10,6,58,26,486,2,498,272,896,74,2,16,408,0,370,586,0,38,24,0,0,580,60,138,36,74,0,0,20,36,4,16,0,0,2,0,0,0,0,22,112,18,32,2,252,2,0,0,0,0,18,0,2,8,6,0,0,4,0,72,0,2,44,4,0,22,0,0,0,0,0,0,0,0,0,0,0,32,0,10,0,0,0,20,0,2,0,0,2,0,0,0,0,0,0,0,0,0,42,0,16,0,0,0,42,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16209,3134,17225,11213,9326,458,2528,8390,4569,2036,5958,3256,9597,6756,2676,896,3022,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS035,52,624,80,60,20,4,22,2,128,10,24,100,12,134,138,179,190,100,80,4,34,134,0,78,18,30,0,6,34,32,40,24,82,84,0,58,14,110,10,10,40,48,110,8,38,22,60,0,120,56,94,10,52,136,84,0,10,6,0,10,0,0,4,2,0,2,22,32,6,48,10,54,12,14,4,24,24,0,4,0,0,2,6,8,0,2,0,0,0,0,0,0,0,0,14,0,12,0,0,0,6,0,14,4,0,2,0,4,0,12,0,2,2,0,0,0,0,0,0,20,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,28,434,236,94,6,40,124,98,59,104,94,192,444,44,10,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS150,68,230,12,14,10,0,4,0,30,2,4,32,59,58,82,67,32,34,28,0,4,279,4,14,0,34,4,2,10,335,9,26,46,52,0,28,8,40,4,0,8,9,40,4,12,20,12,0,40,22,20,0,20,54,56,0,6,0,0,6,0,0,4,0,0,0,12,10,14,24,0,30,2,6,0,6,6,0,2,0,0,0,0,6,2,0,2,0,0,0,0,0,4,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,125,14,136,110,130,14,14,46,38,24,10,24,76,302,10,6,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS153,282,1905,420,145,84,0,214,22,536,28,82,582,18,852,424,787,728,308,334,20,158,422,6,219,108,222,26,88,206,160,193,168,363,374,6,314,70,564,96,4,130,207,412,24,28,74,167,2,457,188,310,8,180,502,316,12,74,0,0,4,74,0,20,4,2,28,190,58,48,228,22,306,64,80,6,16,36,0,28,0,12,0,62,40,0,0,12,0,0,0,0,0,22,0,56,8,98,4,0,0,8,0,4,70,2,0,0,0,6,44,0,2,0,0,0,0,8,0,7,10,0,0,4,4,0,0,0,0,6,8,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,92,1752,982,703,60,158,628,464,156,402,298,1024,964,112,50,282,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS160,286,3340,257,216,414,0,125,150,395,251,29,496,17,831,433,1217,460,984,279,85,304,324,377,263,87,366,134,36,101,106,463,205,417,765,64,171,162,421,72,112,131,106,220,83,1029,45,165,110,462,205,40,103,153,336,168,0,81,46,25,41,105,0,350,15,0,9,247,103,22,226,28,67,24,0,50,12,0,51,216,70,35,0,147,28,51,1,17,7,32,15,17,16,96,0,35,106,31,39,0,34,0,0,61,44,0,15,0,0,0,71,34,0,0,0,1,0,0,21,1,6,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031,1000,841,938,1848,135,292,630,361,78,436,316,333,674,193,74,122,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS165,476,5084,1040,360,131,3,502,31,1298,36,174,1310,63,2378,1129,2049,1942,950,932,63,385,1015,1,390,224,799,105,95,458,420,212,410,1147,731,0,857,141,1525,192,12,419,450,1031,67,71,198,462,6,1232,342,824,54,527,1625,1175,25,213,10,0,35,233,1,20,1,14,122,451,199,351,629,89,955,148,112,14,49,114,4,39,23,15,1,135,155,2,54,53,6,3,0,0,1,33,8,241,10,328,6,0,2,49,0,76,129,7,0,0,12,65,53,0,48,0,7,9,109,10,5,136,143,14,100,0,89,11,0,2,0,7,24,86,4,28,0,0,5,30,26,1,35,13,0,6,20,92,0,15,0,2,24,0,71,0,7,0,16,20,0,12,5,18,21,0,2,2,4,15,7,0,9,3,4,1,54,0,36,9,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1884,325,4566,2950,1288,112,495,1350,1031,470,1182,677,2584,1782,396,205,672,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
