"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Rothia",0.245345125401021,0.595896176228242,0.300144654916838,0.192725162283272,0.335856224121016,0.00732846527033858,0.352798762173849,0.374069768823457,0.263474838593719,0.504502684752873,1,0.409713580435898,0.524663470323159,-0.265026555440792,-0.0709221522989143,-0.144337221872742,0.015886033792126,-0.071087447183471,0.102684193719873,0.0850066937928721,0.0349337861116316,0.16552655850371,-0.208900849238794,-0.0885104419914278
"Streptococcus",0.00946274107952629,0.380475214058883,0.125125400378206,0.110928103658179,0.197011503542175,0.0358332561448414,0.0897508372662946,0.078269418126854,0.12152905074741,0.27118428501583,0.409713580435898,1,0.375956257255257,-0.11515164643538,0.0259772339221454,-0.104702956954813,0.0191771437349195,0.0877442362124216,0.0917976335223986,0.0605417651449619,-0.018407180047135,0.102483376564959,-0.230002360223558,-0.0558065367201366
"Veillonella",-0.0432309755055193,0.695843725059856,0.371778286327642,0.00748566851495228,0.247857143802831,-0.0945434602531659,0.539474679636401,0.127060678017431,0.161160166437644,0.761146255140341,0.524663470323159,0.375956257255257,1,-0.177287913280126,-0.192923070513403,-0.146432394177638,0.0675862109542359,-0.105863795450935,-0.0572127813500674,-0.0172584486522521,0.0292848602729583,0.0483256460610502,-0.0555447040362012,-0.0236974125048812
"Klebsiella",0.155443183011908,-0.103428942785513,-0.00663343586681443,0.0688533776524818,-0.118306550446401,-0.276038855953298,-0.104130644482639,-0.133532631601928,-0.0151006394514675,-0.10515963180312,-0.265026555440792,-0.11515164643538,-0.177287913280126,1,-0.0862928084614983,0.113158858077854,0.00160174427638155,0.12989971078395,-0.19228767188443,0.013431667647771,0.0158833790037933,-0.162277928241606,-0.00326440123478633,0.136611729719965
"Moraxella",-0.0148350915843964,-0.129845138716452,-0.097278733281701,-0.0309815359867028,0.0325404271076188,0.335631679689114,-0.197542015958623,0.0519449696525699,0.0487833231733437,-0.250404038820255,-0.0709221522989143,0.0259772339221454,-0.192923070513403,-0.0862928084614983,1,-0.23470472985955,0.0358981794647398,0.0213608379606342,0.183128023112556,0.118052874555261,0.0470582755819329,0.0816204378130982,-0.0466680285928068,-0.119742083151246
"Pseudomonas",0.0192773340158898,-0.0982139971991525,-0.105593331569239,-0.0807690176257597,-0.175045558961449,-0.356970625942168,-0.0458833308159219,-0.0451941272666559,-0.0516121663964183,-0.170902376553155,-0.144337221872742,-0.104702956954813,-0.146432394177638,0.113158858077854,-0.23470472985955,1,-0.0627870189016393,0.105587706220779,-0.084027322689977,-0.0859401526638415,0.0365458117887026,-0.0490729583460165,-0.0561062063621877,0.0258040624141848
"Aspergillus",0.128858373720382,0.116476450612802,0.140965971909102,0.1060827323704,0.0892785708885839,0.100561468862987,0.142416458979927,0.241159920471171,0.12969020679404,0.11807275697476,0.015886033792126,0.0191771437349195,0.0675862109542359,0.00160174427638155,0.0358981794647398,-0.0627870189016393,1,-0.42208446335069,0.0174806024127665,0.254745580075477,0.165585338070122,0.351049298033976,0.0891509768331173,-0.0721451822196576
"Candida",-0.151525209824883,-0.0530079618438507,-0.162500228136145,-0.00217049012014462,0.0219335023740244,-0.217700874499904,-0.186893331116059,-0.24343909286837,-0.14482023987952,-0.0129503507544136,-0.071087447183471,0.0877442362124216,-0.105863795450935,0.12989971078395,0.0213608379606342,0.105587706220779,-0.42208446335069,1,-0.020762743842442,-0.325529255067655,-0.362809091725837,-0.462609941852524,-0.404744266064209,-0.00236615818491663
"Cryptococcus",-0.0780206875223175,0.0253908435172932,-0.196515974070639,-0.0274799810636778,-0.0957929594109824,0.205377339502753,-0.0921827164555213,-0.0794200781848053,-0.121063665712955,-0.153710835430137,0.102684193719873,0.0917976335223986,-0.0572127813500674,-0.19228767188443,0.183128023112556,-0.084027322689977,0.0174806024127665,-0.020762743842442,1,0.342023672586086,0.197404711992923,0.016509173872463,-0.049711452451754,-0.0737768962790087
"Penicillium",0.0791759697423339,0.0110954434175646,0.0367233564243042,0.0105120131805986,0.0348704557879869,0.28668724217098,-0.0129157415214823,0.0445881781770573,-0.02301961875153,-0.16417519771976,0.0850066937928721,0.0605417651449619,-0.0172584486522521,0.013431667647771,0.118052874555261,-0.0859401526638415,0.254745580075477,-0.325529255067655,0.342023672586086,1,0.183167190931222,0.320326273070625,0.0142606374270679,-0.0278757660779027
"Saccharomyces",0.00258923445642399,0.142436363054583,0.116030304234247,0.00176205360719841,-0.0134239140124069,0.0256359050608988,0.105915999963771,0.061390456949551,0.0862808572865422,-0.0506893340748613,0.0349337861116316,-0.018407180047135,0.0292848602729583,0.0158833790037933,0.0470582755819329,0.0365458117887026,0.165585338070122,-0.362809091725837,0.197404711992923,0.183167190931222,1,0.146573550890323,0.0883283279632434,0.0328901824247168
"unidentified",0.100548006460079,0.0961260269220977,0.141320045216289,0.0479230236340421,0.150709911463898,0.185920373554954,0.0596688786649295,0.213129845229946,0.201272233279659,0.038670999508048,0.16552655850371,0.102483376564959,0.0483256460610502,-0.162277928241606,0.0816204378130982,-0.0490729583460165,0.351049298033976,-0.462609941852524,0.016509173872463,0.320326273070625,0.146573550890323,1,0.0589274322352375,-0.154113918518659
"PIV3",-0.0395116083145135,-0.173184325700151,0.00979269547168807,-0.00198099918755822,-0.169894534717176,-0.110468149638955,0.0336091986084092,-0.0434553999685437,-0.030164752672501,-0.14445896127974,-0.208900849238794,-0.230002360223558,-0.0555447040362012,-0.00326440123478633,-0.0466680285928068,-0.0561062063621877,0.0891509768331173,-0.404744266064209,-0.049711452451754,0.0142606374270679,0.0883283279632434,0.0589274322352375,1,-0.163593541779251
"RV",0.133774955178661,-0.0429058878392342,-0.113960422964481,-0.125528521760449,-0.0840997799302552,-0.17098315096108,-0.087149419620574,-0.0655105016291326,-0.108636487006584,0.00272109548440574,-0.0885104419914278,-0.0558065367201366,-0.0236974125048812,0.136611729719965,-0.119742083151246,0.0258040624141848,-0.0721451822196576,-0.00236615818491663,-0.0737768962790087,-0.0278757660779027,0.0328901824247168,-0.154113918518659,-0.163593541779251,1
