"SUID","interaction","name","negated","selected","shared interaction","shared name","weight"
"1719","increases_interacts with","Neisseria_Granulicatella","false","false","increases_interacts with","Neisseria_Granulicatella","4.636639015706798"
"1720","decreases_interacts with","Pseudomonas_MPV","false","false","decreases_interacts with","Pseudomonas_MPV","37.5341439133582"
"1721","decreases_interacts with","Streptococcus_Veillonella","false","false","decreases_interacts with","Streptococcus_Veillonella","0.6901748620666979"
"1722","increases_interacts with","Haemophilus_Neisseria","false","false","increases_interacts with","Haemophilus_Neisseria","6.493186053361111"
"1723","decreases_interacts with","Pseudomonas_MPV","false","false","decreases_interacts with","Pseudomonas_MPV","28.7106289729923"
"1724","decreases_interacts with","Haemophilus_Saccharomyces","false","false","decreases_interacts with","Haemophilus_Saccharomyces","9.38552409489431"
"1725","increases_interacts with","Neisseria_RV","false","false","increases_interacts with","Neisseria_RV","10.990943246633801"
"1726","decreases_interacts with","Streptococcus_Veillonella","false","false","decreases_interacts with","Streptococcus_Veillonella","0.6901748620666979"
"1727","decreases_interacts with","Streptococcus_Saccharomyces","false","false","decreases_interacts with","Streptococcus_Saccharomyces","11.98869678097784"
"1728","decreases_interacts with","Veillonella_Curvularia","false","false","decreases_interacts with","Veillonella_Curvularia","9.43576772954238"
"1729","decreases_interacts with","Streptococcus_Flu_B","false","false","decreases_interacts with","Streptococcus_Flu_B","4.60518575261466"
"1730","decreases_interacts with","Haemophilus_Flu_B","false","false","decreases_interacts with","Haemophilus_Flu_B","6.99094550619257"
"1731","decreases_interacts with","Veillonella_Pseudomonas","false","false","decreases_interacts with","Veillonella_Pseudomonas","3.8155592267157896"
"1732","increases_interacts with","Candida_MPV","false","false","increases_interacts with","Candida_MPV","9.616309209832501"
"1733","increases_interacts with","Saccharomyces_MPV","false","false","increases_interacts with","Saccharomyces_MPV","9.86978687110932"
