K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
205,0.7589438472,0.7134722056,0.7891683933,0.9517004062,,
186,0.758943184,0.7136390907,0.7889060193,0.9517412139,,
184,0.7589419648,0.7136661772,0.7888663697,0.9517180838,,
180,0.758931697,0.7136294968,0.7888927053,0.9517245446,,
187,0.7589285767,0.7136241266,0.9517255872,0.7888921554,,
190,0.7589269456,0.7136176042,0.788898603,0.9517205532,,
204,0.7589197282,0.7134412655,0.7891514477,0.9516920049,,
189,0.7589187063,0.7135795673,0.9517319483,0.7889315057,,
188,0.7589170348,0.7136092314,0.9517235818,0.7888837779,,
202,0.7589061134,0.7134508539,0.789101598,0.9516840909,,
185,0.7589048612,0.7135944971,0.7888723934,0.9517268288,,
203,0.7589035787,0.7134390994,0.789109987,0.951696661,,
82,0.7589010656,0.7210656767,0.7763963759,0.9597212389,,
201,0.7588912189,0.7134393795,0.7890789156,0.9516822702,,
200,0.7588817711,0.7134677511,0.78901134,0.9516774527,,
191,0.7588762788,0.7135288553,0.7888966922,0.9517141021,,
198,0.7588562421,0.7133935561,0.9516905251,0.7890516979,,
197,0.7588439429,0.7133845363,0.9516938861,0.7890313068,,
199,0.7588427454,0.7134017939,0.789003536,0.9516859887,,
196,0.7588342438,0.7133728251,0.9516929009,0.7890229082,,
194,0.7588327118,0.7133911999,0.7889892907,0.9517012505,,
192,0.7588298307,0.7134328843,0.9517013917,0.7889184,,
195,0.7588296586,0.7133876375,0.7889865115,0.9517006794,,
193,0.758806329,0.7133567681,0.7889708376,0.9516960908,,
77,0.7587510851,0.7268075248,0.7667450206,0.9594863088,,
80,0.7586083983,0.7239104873,0.770909924,0.9595888729,,
79,0.7586056575,0.7254073734,0.7685469617,0.9595734535,,
91,0.7585862989,0.7135512679,0.7897632631,0.9597659914,,
87,0.7585427654,0.7161411446,0.7842725765,0.9597111443,,
81,0.7585276453,0.7236567222,0.7710388373,0.9595567183,,
90,0.7584802945,0.7146613597,0.7870150945,0.9597324401,,
45,0.7584703007,0.7428165546,0.777478421,,,
92,0.7584597845,0.7134598584,0.7895655083,0.9597609309,,
88,0.7584413414,0.7159409719,0.7842973496,0.9596758348,,
89,0.7584259253,0.7158681828,0.7843590299,0.9596759048,,
84,0.7584203724,0.7173716515,0.7814907208,0.9597525419,,
93,0.7584123817,0.7135039029,0.7893831043,0.9597300588,,
94,0.7583917698,0.7135555176,0.789253634,0.9597357369,,
85,0.7583408157,0.7172249249,0.7814959221,0.9597136777,,
83,0.758337171,0.7188052136,0.7786378081,0.9597337164,,
98,0.7583095352,0.7136071231,0.7889827122,0.959624946,,
101,0.758294671,0.7126484742,0.7912781963,0.9596190094,,
86,0.7582649446,0.7171913896,0.7813622349,0.9596391568,,
96,0.7582606919,0.7134204699,0.789111391,0.9597048789,,
95,0.7582556032,0.7133185546,0.7892452575,0.9597059272,,
97,0.7582313165,0.7133663631,0.789126361,0.9596245817,,
99,0.7582194649,0.7135397771,0.7888500177,0.9595927977,,
102,0.7582013402,0.7126065995,0.9595915546,0.7910976892,,
103,0.758180282,0.7126916451,0.7909232848,0.9595516279,,
100,0.7581263699,0.7135207249,0.7886376731,0.9595720299,,
104,0.7580674086,0.7128369078,0.7904158686,0.9595186142,,
105,0.7580172147,0.7127896621,0.7903570209,0.9594936254,,
106,0.7579505428,0.7126433296,0.7903981846,0.959483841,,
46,0.7576508689,0.7434146422,0.7746193009,,,
107,0.7574543421,0.712065668,0.7899593994,0.9593554053,,
108,0.757355908,0.7120541571,0.9593610882,0.7897149242,,
47,0.757288106,0.7430409322,0.7742695858,,,
109,0.7572779915,0.7119860673,0.7896131543,0.9593379533,,
