"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Prevotella",0.0356192055812871,0.0948309735767958,0.131634108473619,0.315625043218628,0.381811835756495,0.00712644222026859,0.250667694276917,0.299053381370581,0.303383458175849,0.391740231011992,1,0.00550255461345039,0.574871071432749,0.0467332141236226,0.0990227806333165,0.119880784254862,0.200685959078984,0.104243254013518,0.115473816020815,0.0680038503034162,0.00676429611354579,0.0345352508088855,0.0247709654808758
"Moraxella",0.000419893125570447,0.00050397587416795,0.000388671746497926,0.00103884705624724,0.00295023488059776,0.00115194018173281,0.00312871945384152,0.00261104253651911,0.00665172558316263,0.00758158772307216,0.00550255461345039,1,0.00972561068079303,0.000148908242250223,0.000461846500716456,0.000825115074128191,0.00300327796430244,0.00132313564015285,2.63929542192454e-05,0.000249150685093125,0.000159821709658003,7.1487855137442e-05,8.33559248412108e-05
"Leptotrichia",0.0383285011508049,0.051523774200449,0.0765108790421167,0.191213385101229,0.364312322589812,0.00769930023763632,0.220225422392953,0.262606205258574,0.136792449659471,0.450672115831486,0.574871071432749,0.00972561068079303,1,0.027619656702243,0.0538049396657515,0.0595330893875889,0.138379352730172,0.108821206050597,0.0376989258679901,0.045044043513095,0.0312422476891676,0.0105272721135119,0.00958115314336982
"Candida",0.459353477049391,0.420089825946901,0.443091109465945,0.228419751438862,0.0904170334538998,0.00902978662758869,0.0907341810298189,0.0770204703032735,0.0363999956155809,0.0370082469567632,0.0467332141236226,0.000148908242250223,0.027619656702243,1,0.19146713386429,0.277903665671048,0.0374427276786505,0.0814483599660715,0.192011495350488,0.287573658980636,0.107509336998827,0.609097952649259,0.49992224908777
"Saccharomyces",0.10018701123285,0.154164681073311,0.316321295491881,0.299489530956561,0.231723766552002,0.370078257920593,0.144170862996006,0.271418790887804,0.0349088649994977,0.0926612206643003,0.0990227806333165,0.000461846500716456,0.0538049396657515,0.19146713386429,1,0.279439332021782,0.159923179061647,0.0102965118318372,0.0434231881309733,0.452106953932641,0.0792766828197962,0.256336991748163,0.279793940393746
"Curvularia",0.22582633896252,0.277283984116038,0.492140069528183,0.288484793716051,0.157616930634132,0.00703647835820898,0.403038373304217,0.266883594241953,0.0799626338758277,0.171514683235158,0.119880784254862,0.000825115074128191,0.0595330893875889,0.277903665671048,0.279439332021782,1,0.160906825247476,0.0163832436542941,0.178897418473331,0.145452364151758,0.178656321898645,0.30475460070972,0.2239672435746
"Cryptococcus",0.0389514159224402,0.0551006971295268,0.0999051868397685,0.141320297889554,0.180417626104184,0.237237596150908,0.280411096350752,0.202801855225263,0.0383456669526471,0.32129509858431,0.200685959078984,0.00300327796430244,0.138379352730172,0.0374427276786505,0.159923179061647,0.160906825247476,1,0.0105253300522283,0.0327478542724196,0.0176279572862614,0.0501238134299494,0.0368125344386985,0.0732412094710082
"Debaryomyces",0.0157194445953179,0.0154868300272589,0.352569827336925,0.354523776290477,0.0464409135349434,0.00196246323231353,0.0532217985845855,0.0426631015737757,0.00265085555427813,0.0565235373630691,0.104243254013518,0.00132313564015285,0.108821206050597,0.0814483599660715,0.0102965118318372,0.0163832436542941,0.0105253300522283,1,0.000318963461624855,0.0114756089106963,0.00195203746885431,0.00317638340077631,0.0028502168173008
"PIV3",0.0141915674817328,0.00715075751117522,0.277079582876997,0.0850681103401547,0.0571936713008455,0.00197042411259862,0.0662223465431702,0.142515034983698,0.196759137007123,0.0465774544294206,0.115473816020815,2.63929542192454e-05,0.0376989258679901,0.192011495350488,0.0434231881309733,0.178897418473331,0.0327478542724196,0.000318963461624855,1,0.239380377817141,0,0.138609080860692,0
"RV",0.238583165827501,0.12380476964166,0.321062313922943,0.255254529429112,0.187045639747229,0.00087091106538284,0.0513331893398726,0.164054992569189,0.0883499975934494,0.0245093355391768,0.0680038503034162,0.000249150685093125,0.045044043513095,0.287573658980636,0.452106953932641,0.145452364151758,0.0176279572862614,0.0114756089106963,0.239380377817141,1,0.110583315920933,0.125186786996957,0.00655363574072543
"Flu_A",0.00319254125860191,0.329234011094397,0.100413441518333,0.0182575877639471,0.0338235106581714,0.000257704729818786,0.0146062081432203,0.039771817207142,0,0.0223841575523102,0.00676429611354579,0.000159821709658003,0.0312422476891676,0.107509336998827,0.0792766828197962,0.178656321898645,0.0501238134299494,0.00195203746885431,0,0.110583315920933,1,0.00206453285120656,0.00212882754952826
"Flu_B",0.519043025230267,0.361606689892339,0.304146384838456,0.17459883062406,0.104440652755,0.000527915915345067,0.0545116457819396,0.0903150533311677,0.0215862296713097,0.0154331113203207,0.0345352508088855,7.1487855137442e-05,0.0105272721135119,0.609097952649259,0.256336991748163,0.30475460070972,0.0368125344386985,0.00317638340077631,0.138609080860692,0.125186786996957,0.00206453285120656,1,0.174726888134804
"MPV",0.165395393136376,0.297264996966284,0.230104156482408,0.0911515505937813,0.0232788023909063,0.275786940176376,0.112117769059872,0.02997179956406,0.0111500842602655,0.0406301458268878,0.0247709654808758,8.33559248412108e-05,0.00958115314336982,0.49992224908777,0.279793940393746,0.2239672435746,0.0732412094710082,0.0028502168173008,0,0.00655363574072543,0.00212882754952826,0.174726888134804,1
