"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Prevotella",0.0671015307448487,0.0550774719932386,0.133669985790845,0.258144806084066,0.282639535242638,0.0267718369833647,0.431358023746296,0.363608662358173,0.0747318818159406,0.239964522960433,1,0.0192653645411196,0.531451154934968,0.0311779514463711,0.109469223910195,0.200500689775532,0.251305998927637,0.162632038586423,0.0292537164106359,0.0403182365170861,0.0647214884932359,0.015544654878362,0.0202402845700078
"Moraxella",0.002205584947651,0.101245790390912,0.0771648610410918,0.0200594152071912,0.00294728303093827,0.00118524406002074,0.0239058635458113,0.0248201878194696,0.00137518314608565,0.363799564228744,0.0192653645411196,1,0.00429972593212813,0.0972968511154493,0.118164018855741,0.284015469885027,0.0852663166282358,0.00346120703739605,0.29322044309289,0.000120443363971101,0,0.110657011140972,0.288959898087441
"Leptotrichia",0.0793467317798978,0.0323027769413278,0.0945594446961255,0.186248652298942,0.290656744681194,0.0507404753678588,0.363736089879754,0.312737809038109,0.0342098079491384,0.244573101324371,0.531451154934968,0.00429972593212813,1,0.0217068006242452,0.0699307509870831,0.151433736083498,0.266431281926175,0.286489646275373,0.0239596618069374,0.0313026683092664,0.00576395782638106,0.00694792150895662,0.00208398052090952
"Candida",0.356954667002675,0.437040716607322,0.3019746365875,0.181590378419387,0.120277597059687,0.0804495991840383,0.0573927126867038,0.0980361723312744,0.0638778312331475,0.0460235416197672,0.0311779514463711,0.0972968511154493,0.0217068006242452,1,0.264491415046911,0.152075589848199,0.0133591692067149,0.00433436679865862,0.1619301205761,0.197432846842204,0.00240049721761493,0.314199867520387,0.240524321005129
"Saccharomyces",0.201540556096152,0.337841964341703,0.556152196083067,0.449056168220997,0.161694194519659,0.0322990345984207,0.223068666198333,0.273077873537668,0.0122413468677911,0.101475917011253,0.109469223910195,0.118164018855741,0.0699307509870831,0.264491415046911,1,0.251538720601104,0.042866862479186,0.0161337988689149,0.354100132182307,0.349057024850151,0.00895899650664611,0.21745854169241,0.0938249925661432
"Curvularia",0.0962596994166652,0.0730306461838489,0.271504975526937,0.3111083493801,0.245099836700779,0.249427599252149,0.175954351952765,0.433057277082637,0.0640499073522568,0.326241860258947,0.200500689775532,0.284015469885027,0.151433736083498,0.152075589848199,0.251538720601104,1,0.145270950594309,0.0208834074477199,0.112414231899826,0.0116264020391349,0.00240952081721979,0.170206679100177,0.19745868950261
"Cryptococcus",0.0227561242935076,0.015670649834411,0.0553883248349821,0.0820765701335899,0.0764783344438902,0.0700057005194874,0.184912951024294,0.135483663418735,0.02258362545952,0.146936249770767,0.251305998927637,0.0852663166282358,0.266431281926175,0.0133591692067149,0.042866862479186,0.145270950594309,1,0.131805804603333,0.0158655583034549,0.00328803885602669,0.0145043782953822,0.0173667397090641,0.0242200603262098
"Debaryomyces",0.0164572072879189,0.00946623124425006,0.0194548097456607,0.0398418257696193,0.0640707148992686,0.00953422157649331,0.107674046133585,0.0797067485869088,0.0139184260052684,0.143052564311922,0.162632038586423,0.00346120703739605,0.286489646275373,0.00433436679865862,0.0161337988689149,0.0208834074477199,0.131805804603333,1,0.0140568938929283,0.0143848484038716,0.0340778791839617,0.00294213980141544,0.00165334544057383
"PIV3",0.280327472721617,0.0528349404413454,0.276472364866632,0.129468614734946,0.0892966425179417,0.00512875488832376,0.135234251587907,0.070857784941728,0.00547042126446506,0.183201618967714,0.0292537164106359,0.29322044309289,0.0239596618069374,0.1619301205761,0.354100132182307,0.112414231899826,0.0158655583034549,0.0140568938929283,1,0.184878224695454,0,0.0961069491718268,0.176677623751492
"RV",0.427026078771487,0.0580397177572268,0.275811333230361,0.256933486713021,0.0995064014420224,0.00532650908287879,0.0528387724961237,0.105421822326419,0.00617742430685742,0.0189887008417704,0.0403182365170861,0.000120443363971101,0.0313026683092664,0.197432846842204,0.349057024850151,0.0116264020391349,0.00328803885602669,0.0143848484038716,0.184878224695454,1,0.0137674099400035,0.0743225285343118,0.076377294741759
"Flu_A",0.011001797775317,0.000186281020147838,0.0108111811534732,0.02224211803454,0.000153776837638731,0,0.0108896085321675,0.00243463773783792,0.000146581122946188,0,0.0647214884932359,0,0.00576395782638106,0.00240049721761493,0.00895899650664611,0.00240952081721979,0.0145043782953822,0.0340778791839617,0,0.0137674099400035,1,0,0.0158937135946373
"Flu_B",0.117287295127271,0.370891673845841,0.169096174404745,0.0703284927972938,0.0225474614002329,0.345707589393554,0.0983548379697006,0.0413882624817237,0.00435277092580344,0.0184099154842156,0.015544654878362,0.110657011140972,0.00694792150895662,0.314199867520387,0.21745854169241,0.170206679100177,0.0173667397090641,0.00294213980141544,0.0961069491718268,0.0743225285343118,0,1,0.0440600348364235
"MPV",0.504298089953692,0.0417347023756424,0.105925642181906,0.114216702572407,0.00246885025621757,0.000286579333484194,0.0160495089436539,0.0138110478434055,0.000421044021458483,0.155767124479175,0.0202402845700078,0.288959898087441,0.00208398052090952,0.240524321005129,0.0938249925661432,0.19745868950261,0.0242200603262098,0.00165334544057383,0.176677623751492,0.076377294741759,0.0158937135946373,0.0440600348364235,1
