K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
101,0.7973134507,0.756140665,0.9670409132,0.8290905556,,
102,0.7970831001,0.7558525646,0.9670012805,0.8289128593,,
103,0.797012956,0.755973507,0.966978014,0.8285527428,,
104,0.7969784978,0.7561584507,0.9668946439,0.8282028838,,
105,0.796849866,0.7560816131,0.966890292,0.8279766054,,
106,0.7967542452,0.7559626727,0.9668742872,0.8279018023,,
107,0.7966330601,0.7557435112,0.9668442576,0.8279096289,,
108,0.7963853518,0.7554180827,0.9668050889,0.8277410012,,
109,0.7962775603,0.7552285632,0.9667572892,0.8277435658,,
110,0.7961672624,0.7550886096,0.9667010963,0.8276677907,,
111,0.7959887929,0.7548044999,0.9666500363,0.827623452,,
114,0.7958721739,0.754747411,0.9665730134,0.8274122295,,
112,0.7958696217,0.7546900012,0.9665804172,0.827488926,,
113,0.7958234415,0.754649026,0.9665860543,0.8274262183,,
115,0.7956307404,0.7545562149,0.966512758,0.8270657324,,
116,0.7956251912,0.7547156796,0.9664207875,0.8268314419,,
117,0.7955754805,0.7547068239,0.9663725923,0.8267211864,,
118,0.7953687183,0.7544315514,0.9663139866,0.8265902235,,
119,0.7952758015,0.7542656771,0.9662921364,0.8265928303,,
121,0.795160704,0.7541695212,0.9662384543,0.8264392968,,
120,0.795151464,0.7541249654,0.9662479348,0.8264789732,,
122,0.7951189134,0.7541524468,0.9661751112,0.8263647144,,
123,0.794994056,0.7539606945,0.9661598682,0.8263198532,,
124,0.7948305793,0.7537001485,0.9661393947,0.8262751976,,
125,0.7947235269,0.7535922584,0.9660802524,0.8261612015,,
126,0.7945951409,0.7535688795,0.9660471032,0.8258616062,,
127,0.7944885376,0.7535055992,0.9659936433,0.8256820017,,
128,0.7942669012,0.7531886557,0.9659570467,0.8255694094,,
182,0.7941730002,0.7537714155,0.9593800691,0.8222389833,,
129,0.7941370826,0.7530201018,0.9659570232,0.825474589,,
183,0.7941338563,0.7537536747,0.8221601015,0.9593777539,,
184,0.7941045192,0.7537137589,0.9593780043,0.8221408472,,
185,0.7940215824,0.7535614805,0.9593787493,0.8221460531,,
186,0.7940027597,0.7535642191,0.9593967325,0.8220872577,,
130,0.7939890493,0.7528474851,0.9659206594,0.8253437656,,
187,0.7938918382,0.7534608483,0.9593716109,0.8219477557,,
188,0.7938491056,0.7534466894,0.9593711231,0.8218533565,,
131,0.7938357201,0.7526426123,0.9659132169,0.8252415871,,
189,0.7938130856,0.7534269483,0.95936512,0.8217867113,,
190,0.7937083585,0.7533638147,0.9593333387,0.8216044851,,
191,0.7936637504,0.7533394183,0.959307891,0.8215254747,,
132,0.7936469032,0.7524352873,0.9658908809,0.8250516575,,
134,0.7936385892,0.7525448164,0.9658757114,0.8248706233,,
133,0.7936322618,0.7525090557,0.9658929216,0.8249037093,,
192,0.7935797188,0.7532033377,0.9592901329,0.8215069124,,
135,0.7935744376,0.7525206914,0.9658728391,0.8247369459,,
136,0.7935391682,0.7525652536,0.9658573837,0.8245804932,,
193,0.7935121591,0.7530675946,0.9592757271,0.8215318492,,
194,0.7935074591,0.7530323504,0.9592717286,0.8215732072,,
137,0.7934816425,0.7525660329,0.9658307999,0.8244316493,,
195,0.7934474584,0.7530127778,0.959264062,0.8214415921,,
196,0.7934262324,0.7529802581,0.9592493799,0.821436139,,
197,0.7933970506,0.7529646588,0.9592415989,0.8213821336,,
198,0.7933944994,0.7530072126,0.9592228509,0.8213146005,,
138,0.7933509384,0.7523845487,0.9657909967,0.8243603572,,
199,0.7933370425,0.7529617507,0.9592151659,0.8212290468,,
200,0.7933234585,0.7529695004,0.959197215,0.8211840688,,
201,0.7933132284,0.7529451162,0.9592066672,0.8211913103,,
202,0.7932882035,0.7529086855,0.9592090386,0.8211780574,,
139,0.7932825153,0.7523451222,0.9657551683,0.8242435815,,
203,0.7932597975,0.7528973475,0.9592168069,0.8211166013,,
140,0.7932297704,0.7523533729,0.9657246123,0.8240970424,,
141,0.7932219492,0.7524494477,0.9657105575,0.8239369756,,
204,0.7932164737,0.7528235351,0.9592192661,0.8211102348,,
205,0.793210746,0.7528159642,0.9592238447,0.8211052337,,
206,0.7932060967,0.7528367238,0.9592290825,0.8210601761,,
207,0.7932023562,0.7528324937,0.9592310525,0.8210560339,,
210,0.7931960832,0.7528195278,0.9592408977,0.8210566603,,
214,0.7931948029,0.7528138432,0.9592499201,0.8210599808,,
213,0.7931940702,0.7528123986,0.9592481421,0.8210605343,,
216,0.7931938246,0.7528119278,0.959250949,0.8210600186,,
