"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Rothia",-0.00526027934927275,0.170766192046069,-0.0149593957825799,0.0684052091971635,0.0839421024890758,-0.307155902324051,-0.0269115905671881,-0.0809828930360142,-0.0778791917924093,-0.0888851649527261,1,-0.440438849488788,0.102016467986117,-0.0904694914419432,-0.0705043730236884,-0.0705553788966309,-0.0425268564351528,0.171705603149007,-0.0243016472109727,-0.0481493811405398,-0.143046628045511,0.00836595466989718,-0.0685296023158752,-0.0266254950959406
"Streptococcus",-0.0511237726546636,-0.17095126215898,-0.078661264866987,-0.119618426364172,-0.170424766334485,0.0921958581957494,0.0265756523863747,-0.0871875773408969,0.095714064487383,-0.0709543013833047,-0.440438849488788,1,-0.240656262012673,-0.0204275729939383,-0.0357306802381061,-0.166950255425917,-0.0160424264963982,-0.0737584490299673,0.230218065069603,0.0413908621292687,0.157691633988078,0.222304107318893,-0.165726632214236,-0.35770127330738
"Veillonella",-0.0133409733836214,0.466335308676272,0.217110138015633,0.0291277810407841,0.0561026910640735,-0.383972717670313,0.264766408375232,0.0232791693750074,0.209589184920564,0.522897406268504,0.102016467986117,-0.240656262012673,1,0.0972983056037218,-0.0885408141930093,-0.101277472318642,-0.0178971503828823,0.143796240403447,-0.275381671238255,-0.163639143211653,0.0205345668718377,-0.231569552608678,-0.138142980471868,0.174622560498062
"Klebsiella",0.0553900573014707,0.0490469973411436,0.187237991289476,0.015694210416915,-0.0943609273725339,-0.149865948148043,0.0561546771019953,-0.0371813805720973,0.116509163786152,0.297903633376014,-0.0904694914419432,-0.0204275729939383,0.0972983056037218,1,-0.0307072210233644,-0.0439404965537342,-0.0245893483369698,0.00501136833016221,-0.0944515779963632,-0.0561475135235655,-0.0235453756124471,-0.0576263279642684,0.131494254614583,-0.0580521733227161
"Moraxella",-0.0216363658352761,-0.0952371598070481,-0.0705268979412057,0.0370441040789568,0.0756569016619527,-0.0460909698492193,-0.0753125485069016,-0.0567535530029176,0.216644638094208,-0.0865705254702825,-0.0705043730236884,-0.0357306802381061,-0.0885408141930093,-0.0307072210233644,1,-0.0324286072154307,-0.0111702131278032,-0.0376375751714248,-0.0116314876328479,0.00346546923841591,0.0155371935731421,0.062130258935298,0.0246631237696349,0.0576386785349779
"Pseudomonas",-0.033945171669727,0.0118538391581409,-0.0989062911090572,-0.0581762186322438,0.12457487207084,-0.0147582915346128,0.000878752479574404,0.0607745334065325,-0.101156689990865,-0.118387707171505,-0.0705553788966309,-0.166950255425917,-0.101277472318642,-0.0439404965537342,-0.0324286072154307,1,-0.0567074354566352,-0.00374129336332578,0.140803111299581,0.0424616565949501,-0.0683135629697131,0.126011968549404,0.0763359582547333,-0.0526379377388701
"Aspergillus",-0.0210914319823772,0.0675253980550334,0.120967599037588,-0.0221039512610773,-0.0667115011246873,0.129586913374474,0.0198137449680347,-0.0399883296674357,-0.0498543816997174,0.000718479725262983,-0.0425268564351528,-0.0160424264963982,-0.0178971503828823,-0.0245893483369698,-0.0111702131278032,-0.0567074354566352,1,0.0809355866601698,-0.0835781538080356,-0.0153082662288956,0.0172873255062083,-0.00397707988241774,-0.07545866141334,-0.0501062450386094
"Candida",-0.00289200598504925,0.03218528353526,0.193068410795208,-0.0307867765807054,0.157804947374189,0.0599375845158279,-0.0931028929532899,0.0649935757354832,0.172481101239382,0.104886286162789,0.171705603149007,-0.0737584490299673,0.143796240403447,0.00501136833016221,-0.0376375751714248,-0.00374129336332578,0.0809355866601698,1,-0.0340873609796,-0.160313397516626,-0.550277588628813,-0.330158384130851,-0.494224763230116,-0.17698481074489
"Cryptococcus",-0.0827337262472283,-0.153426006033325,-0.232452076431972,-0.0800010620648249,0.166448424435147,0.24088751814538,-0.100473986714869,-0.148321644969312,-0.0948101475860353,-0.234531172686668,-0.0243016472109727,0.230218065069603,-0.275381671238255,-0.0944515779963632,-0.0116314876328479,0.140803111299581,-0.0835781538080356,-0.0340873609796,1,0.20727297738146,-0.0215127778976371,0.239078155564759,-0.191445510994896,-0.0925130985732584
"Penicillium",-0.0490855699565511,-0.10770947873299,-0.135020010374942,-0.0813726164894837,0.296153809928607,0.0537068184279467,-0.101171142742223,-0.00181495024472647,-0.0699914538241713,-0.151898866884293,-0.0481493811405398,0.0413908621292687,-0.163639143211653,-0.0561475135235655,0.00346546923841591,0.0424616565949501,-0.0153082662288956,-0.160313397516626,0.20727297738146,1,-0.011578051787731,0.125835794542675,-0.148218302591753,0.224592055004505
"Saccharomyces",-0.0611092191339384,0.30898756408464,-0.0153950362201418,0.0561591112541984,-0.0125976334654826,-0.0829771259618386,0.379364612172251,-0.0526660220857439,-0.0542319360678651,0.234130539316768,-0.143046628045511,0.157691633988078,0.0205345668718377,-0.0235453756124471,0.0155371935731421,-0.0683135629697131,0.0172873255062083,-0.550277588628813,-0.0215127778976371,-0.011578051787731,1,0.0594607741564475,-0.0219484774152086,-0.143258514951192
"unidentified",-0.0686796488610019,-0.063811119257131,-0.0924226587987337,-0.0628443903059873,-0.0471343242460006,0.0138980443414145,-0.010341221561021,-0.0680677136310729,-0.06411346111817,-0.178026413276236,0.00836595466989718,0.222304107318893,-0.231569552608678,-0.0576263279642684,0.062130258935298,0.126011968549404,-0.00397707988241774,-0.330158384130851,0.239078155564759,0.125835794542675,0.0594607741564475,1,0.077714530589166,-0.0342218694038739
"PIV3",0.166765471082056,-0.208555026410233,0.00375943276026242,0.0301472539474141,-0.161112276202099,-0.275512330916591,-0.126989799954031,-0.0864651397637063,-0.180063460308959,-0.172347815901349,-0.0685296023158752,-0.165726632214236,-0.138142980471868,0.131494254614583,0.0246631237696349,0.0763359582547333,-0.07545866141334,-0.494224763230116,-0.191445510994896,-0.148218302591753,-0.0219484774152086,0.077714530589166,1,-0.23369517335072
"RV",-0.0519691706778528,-0.0298915127071371,-0.11996220572103,0.0774574098026119,-0.0551973553838602,-0.0742397494512946,-0.103004975391495,0.141574262139078,0.0699124858686715,-0.0320699166003128,-0.0266254950959406,-0.35770127330738,0.174622560498062,-0.0580521733227161,0.0576386785349779,-0.0526379377388701,-0.0501062450386094,-0.17698481074489,-0.0925130985732584,0.224592055004505,-0.143258514951192,-0.0342218694038739,-0.23369517335072,1
